Parameter,OOB_Importance,OOB_Pct
Frequency (Hz),15.3957123760586,2.09362200372875
Source depth z_S (m),14.2556512547663,1.93858812216281
Temp shift (°C),11.9009062085994,1.61837260232153
Range (km),571.578871167365,77.7274914152943
Depth (m),122.231419600559,16.6219258564926
